region_id;income;spending
1;2810596812415,20;3255238661535,30
3;794726473404,20;946197009814,90
2;647927219103,00;729458035539,90
5;374346157741,10;406514634307,30
4;337525735301,70;376581439460,00
6;336064878626,70;394162884858,80
10;317848964673,70;351136927974,90
7;311568064740,80;344066772513,20
11;278226563936,70;295554554396,50
46;259106453573,50;312830935748,90
12;253345915084,00;275898199768,60
16;246145409951,40;271855672550,80
15;240598072143,90;250345591535,70
14;234176972590,20;262755234456,90
8;229489010764,40;284070551919,90
19;225956916784,90;236625055277,00
17;224970580786,30;270315706664,70
18;223303854855,20;280880721778,90
9;214498999680,00;250999731615,50
22;191455677787,40;215142349626,70
21;186916555962,00;239696904219,80
25;186097342298,50;205214406387,50
24;180267608457,80;196604893306,20
23;172885266635,70;199256728619,40
20;172241039754,20;272757705464,60
26;161675652165,60;172640012069,10
27;158048018816,60;175318412574,20
29;150432495150,30;163217000845,30
30;148634840795,70;159349159272,10
28;147137030663,20;155181584147,20
31;141517123933,90;161855551208,70
39;139491165004,50;144861190912,50
34;135656322105,70;141307245922,30
33;129827973772,40;138906266037,70
32;128421088201,80;138940694192,30
37;127024710319,60;134458481031,80
36;111243768656,40;118162627155,50
38;109524619552,50;121134572081,00
35;106871033698,50;139065142192,90
40;105413622214,90;119360888755,30
43;105187728029,30;111951675592,60
49;103104632477,20;104132114663,90
45;99556521092,30;101846431286,50
44;99268971037,50;110830213843,20
48;98627812403,00;120112742139,20
42;97231292090,80;102879515368,20
41;95427865563,10;112537220767,10
53;93518182885,50;103724782771,70
47;91978814639,10;102864325674,20
82;87559290299,00;99848206328,70
56;85574948060,60;88722732885,80
55;84522599457,50;91645878214,90
52;83029145031,50;92598296152,40
57;82959353456,80;92734599283,20
50;82834385090,10;90709442989,20
58;82028984637,60;83152710457,70
51;81619615379,50;83607693913,40
54;78073588663,70;82502093538,50
60;76155862151,70;81637755957,40
61;75628000246,90;81454976007,40
65;64503362455,90;68298554112,10
64;63308414981,80;66041780343,60
63;63306805661,50;68815082254,00
59;59943265953,20;73092256092,80
69;58276876300,00;66170067834,10
62;58162554741,50;62763138915,40
66;57233654934,20;67893794245,10
72;53993801069,90;55350938321,00
78;51658271400,00;52304213800,00
73;51382286163,20;54776397101,20
71;49464906999,30;50814027738,40
76;49090248958,30;50790325752,20
75;48880925639,70;53749445669,30
68;48102282054,70;53272417374,00
74;48045579483,40;49756114612,30
77;45784907048,80;48454236703,00
67;44386239948,30;56205515900,20
70;42917312668,90;53436086126,50
79;39708328404,70;40193098605,40
81;35277603025,90;37180696321,80
80;34884746725,10;35403879592,70
13;30519728655,10;32264572388,30
83;23822303892,70;26068586150,90
84;23451768789,20;26601763752,60
85;21476300257,40;22197819442,30
